,class_index,center_x,center_y,width,height,45width,45height
0,0.0,704.6718406677246,889.5967197418213,107.27557182312012,95.50115168094635,43.65419637411833,114.32231025025249
1,0.0,818.9311408996582,233.545737862587,41.84808969497681,76.50146394968033,66.61305100098252,69.39303501695395
2,0.0,1404.3756866455078,541.7475986480713,89.97538089752196,47.47731640934944,80.25168164446951,78.16864328831433
3,0.0,797.6578903198243,897.1668577194214,95.29164075851442,88.30613136291504,50.72893833741545,104.71517278254032
4,0.0,1545.2111434936523,196.6110277175903,45.62030553817749,64.7982805967331,69.66206776723264,48.42900027707219
5,0.0,501.10279083251964,870.1706171035767,90.97701072692871,88.87774765491486,46.79085086099804,105.32355231419206
6,0.0,1571.719093322754,471.94397807121277,76.05289220809937,39.65483620762825,59.87466911226512,60.47769548557698
7,0.0,890.3680801391603,915.4199552536011,105.1640295982361,90.57496637105942,52.10496867634356,110.33599694073199
8,0.0,1584.232864379883,358.7024116516114,48.423964977264404,75.94689041376114,,
9,0.0,1369.1281127929688,345.36445140838623,50.48026084899902,83.17079812288284,89.81804029271008,73.0255262888968
10,0.0,464.6401405334472,693.1158542633057,45.982825756073005,101.78991258144379,86.99079835787416,86.93998483568429
11,0.0,695.9630584716797,704.9988555908203,43.75927805900574,106.56906992197038,,
12,0.0,1683.2893753051758,971.3781309127808,84.64347124099731,41.678414046764374,,
13,0.0,1483.645248413086,124.66844469308852,40.82395076751708,55.57132601737976,71.53299463167787,44.844659775495536
14,0.0,638.422966003418,222.9638922214508,41.68195366859436,72.92930871248245,70.7345641516149,79.77349250391126
15,0.0,350.8233261108398,857.0382642745972,84.48567152023315,92.83521562814714,43.39065900631249,104.7406467050314
16,0.0,613.7699317932129,884.5691871643066,94.88279342651366,84.77862685918808,41.65529939532279,105.21844867989421
17,0.0,864.8735046386719,103.79600912332535,38.7136173248291,67.2459599375725,,
18,0.0,1108.593406677246,963.1815147399902,96.96149826049805,94.51107054948807,47.596250323578715,111.32353020831944
19,0.0,1653.1831741333008,215.75781583786014,40.576926469802856,62.1258307993412,,
20,0.0,585.457935333252,701.5424108505249,47.395241260528564,95.57473808526993,,
21,0.0,929.0071678161621,309.60105657577515,44.41331505775452,98.09509456157684,87.34549744427203,89.67689074203372
22,0.0,1715.5686950683594,223.00893723964694,36.77926540374756,64.5225428044796,,
23,0.0,1625.8681869506836,150.14069437980652,44.54896330833435,56.32832452654839,62.45683516189457,35.449985409155495
24,0.0,1574.7819900512695,981.8565130233765,92.85356283187866,46.60601556301117,72.05034281685948,85.78128482401371
25,0.0,1543.3826065063477,357.2216391563415,45.419368743896484,72.93560117483139,,
26,0.0,862.258014678955,708.0171775817872,47.56713867187499,105.61905294656754,82.24703882262112,90.38833536207676
